Equipo/µrea;Equipo/Vicepresidencia;Num
;;1
TRANSMISION Y DISTRIBUCION (CLS51000577);TRANSMISION Y DISTRIBUCION (CLS80000008);2
OPERACION DEL MEM (CLS51000848);GENERACION (CLS80000006);3
PRUEBAS E INGENIERIA TYD (CLS53000571);TRANSMISION Y DISTRIBUCION (CLS80000008);4
INGENIERIA TYD (CLS51000896);TRANSMISION Y DISTRIBUCION (CLS80000008);5
OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA TOLIMA NORTE (CLS53000268);TRANSMISION Y DISTRIBUCION (CLS80000008);6
PLANEACION Y PROGRAMACION MANTENIMIENTO MEDIA Y BAJA TENSION (CLS53000231);TRANSMISION Y DISTRIBUCION (CLS80000008);7
DEVOPS TECNOLOGIA NEGOCIO (CLS53000545);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);8
SUBESTACIONES TOLIMA SUR (CLS53000577);TRANSMISION Y DISTRIBUCION (CLS80000008);9
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS (CLS51000783);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);10
EXPERIENCIA DE CLIENTE (CLS51000728);COMERCIAL (CLS80000004);11
SUBESTACIONES TOLIMA NORTE (CLS53000578);TRANSMISION Y DISTRIBUCION (CLS80000008);12
ANALISIS CONTABLE (CLS53000419);FINANCIERA (CLS80000005);13
REGIONAL TOLIMA (CLS53000301);COMERCIAL (CLS80000004);14
FINANZAS DE NEGOCIO (CLS51000676);FINANCIERA (CLS80000005);15
PROYECTOS TYD (CLS51000662);TRANSMISION Y DISTRIBUCION (CLS80000008);16
ASUNTOS LEGALES DE NEGOCIO (CLS53000015);ASUNTOS CORPORATIVOS (CLS80000002);17
CATEGORIA (CLS53000327);FINANCIERA (CLS80000005);18
INFORMACION TECNICA (CLS53000404);TRANSMISION Y DISTRIBUCION (CLS80000008);19
MEDIDA Y CONFIABILIDAD TYD (CLS53000395);TRANSMISION Y DISTRIBUCION (CLS80000008);20
CENTRO DE CONTROL (CLS53000348);TRANSMISION Y DISTRIBUCION (CLS80000008);21
EVALUACION DE LA MEDIDA (CLS53000250);TRANSMISION Y DISTRIBUCION (CLS80000008);22
SOCIOAMBIENTAL TYD (CLS53000570);TRANSMISION Y DISTRIBUCION (CLS80000008);23
COBRO Y RECAUDO (CLS53000242);COMERCIAL (CLS80000004);24
ASUNTOS LEGALES CORPORATIVOS (CLS51000479);ASUNTOS CORPORATIVOS (CLS80000002);25
ASUNTOS LABORALES (CLS51000478);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);26
PROYECTO REDUCCION DE PERDIDAS TOLIMA (CLS53000611);TRANSMISION Y DISTRIBUCION (CLS80000008);27
OPERACION CAMPO (CLS53000528);ENERBIT (CLS80000022);28
ALMACEN (CLS53000244);FINANCIERA (CLS80000005);29
