Ciudad_Nombre;Ciudad_ID
AGUA DE DIOS;1
PITALITO;2
JAMBALO;3
CHAGUANI;4
ENCISO;5
ZAPATOCA;6
FRANCISCO PIZARRO;7
YUMBO;8
BUENAVISTA;9
CAJICA;10
SAN ANDRES DE CUERQUIA;11
SABANETA;12
ITAGUI;13
COPACABANA;14
TURBACO;15
SOLEDAD;16
EL CERRITO;17
BUCARASICA;18
CAPITANEJO;19
TULUA;20
GUACA;21
MELGAR;22
FRESNO;23
LERIDA;24
MANAURE;25
LIBANO;26
LA CEJA;27
MEDELLIN;28
IBAGUE;29
FLANDES;30
CALI;31
EL CARMEN DE VIBORAL;32
GUADALAJARA DE BUGA;33
POPAYAN;34
PALMIRA;35
ANCUYA;36
ROLDANILLO;37
EL PE¥ON;38
QUETAME;39
SEVILLA;40
CHIBOLO;41
PANAMA;42
David;43
VILLA OLIVA;44
Guayabo de Bagaces;45
;46
GUALACA;47
COLON;48
Panam ;49
BAGACES;50
GUAYABO;51
BARRANCABERMEJA;52
SABANAS DE SAN ANGEL;53
Ca¤as;54
Santa Rosa;55
BARRANQUILLA;56
GALAPA;57
Liberia;58
LOS ANGELES;59
Quesada;60
RIONEGRO;61
CAJIBIO;62
BELALCAZAR;63
RONCESVALLES;64
BOGOTA, D.C.;65
JAMUNDI;66
CALIMA;67
CAICEDONIA;68
ZARZAL;69
RETIRO;70
JERICO;71
DON MATIAS;72
ZIPAQUIRA;73
PUERTO COLOMBIA;74
BARBACOAS;75
CIMITARRA;76
BUGALAGRANDE;77
ENVIGADO;78
LA CAPILLA;79
CATIVA;80
VILLA SUCRE;81
SAN LUIS DE GACENO;82
;83
SAN LUIS;84
BUCARAMANGA;85
LA CUMBRE;86
BUENAVENTURA;87
DAGUA;88
SAMPUES;89
LABATECA;90
CHIA;91
PRADERA;92
SAN JUANITO;93
GOMEZ PLATA;94
DOLEGA;95
LEGUIZAMO;96
SARAVENA;97
LA UVITA;98
PUERTO TEJADA;99
RIOBLANCO;100
GUADALUPE;101
REPELON;102
SAN JOAQUIN;103
SAN FRANCISCO;104
PANAMµ;105
Col¢n;106
SAN MARTIN;107
CAPITAL;108
APIA;109
NEIVA;110
PIEDECUESTA;111
VILLAMARIA;112
CARTAGO;113
MONTERIA;114
SOACHA;115
PUERTO LIBERTADOR;116
URRAO;117
SAN JOSE DE LA MONTA¥A;118
MONGUI;119
SUAREZ;120
ALCALA;121
YOTOCO;122
CANDELARIA;123
PANA PANA;124
MARIQUITA;125
SALDA¥A;126
HONDA;127
COELLO;128
SAN GIL;129
TOLU VIEJO;130
GUACARI;131
CALDAS;132
VIGIA DEL FUERTE;133
PUERTO NARE;134
CAPARRAPI;135
MORALES;136
FLORESTA;137
SANTANDER DE QUILICHAO;138
YOLOMBO;139
ARMENIA;140
CARTAGENA;141
MONTELIBANO;142
MALAMBO;143
FUNZA;144
ESPINAL;145
MADRID;146
GAMBITA;147
SAHAGUN;148
ALBANIA;149
LA UNION;150
RICAURTE;151
LA PLATA;152
HOBO;153
San Pedro Sula;154
TILARAN;155
SIGUATEPEQUE;156
OBANDO;157
CORTES;158
Medell¡n;159
ANSERMANUEVO;160
ARACATACA;161
ANDALUCIA;162
GIRON;163
ROSAS;164
CAUCASIA;165
PURACE;166
YAGUARA;167
SAN PEDRO;168
BELLO;169
PRADO;170
CARMEN DE APICALA;171
SAN ANTONIO;172
MARIA LA BAJA;173
GARZON;174
SAN ROQUE;175
ICONONZO;176
SOGAMOSO;177
PUERTO RONDON;178
CABUYARO;179
VILLA DEL ROSARIO;180
HELICONIA;181
LA JAGUA DE IBIRICO;182
NILO;183
GIRARDOT;184
ARMERO;185
MAICAO;186
MANIZALES;187
FLORIDABLANCA;188
