Compania_Nombre;Compania_ID
CELSIA COLOMBIA S.A. E.S.P. (CLS-CO07);1
ENERBIT S.A.S. E.S.P. (CLS-CO11);2
TERMOELECTRICA EL TESORITO S.A.S E.S.P (CLS-CO10);3
FUNDACION CELSIA COLOMBIA (CLS-CO09);4
CELSIA S.A (CLS-CO01);5
CELSIA CENTROAMERICA S.A. (CLS-PA02);6
ALTERNEGY S.A. (CLS-PA03);7
PEG S.A. (CLS-CR02);8
BLM, CORP (CLS-PA01);9
PEGO LTD (CLS-CR03);10
CELSIA COSTA RICA S.A. (CLS-CR05);11
EPSA E.S.P. (CLS-CO07);12
ZFC S.A. E.S.P. (CLS-CO02);13
CETSA E.S.P. (CLS-CO06);14
CELSIA S.A E.S.P. (CLS-CO01);15
PORVENIR II S.A.S. E.S.P. (CLS-CO04);16
CELSIA MOVE (CLS-CO99);17
CELSIA HONDURAS S.A. (CLS-HN01);18
JUNTA DIRECTIVA CLS;19
