Activo;Origen;Idioma;µrea de conocimiento;Prop¢sito de formaci¢n;Tipo de contenido;Tipo de art°culo;ID de art°culo;T°tulo del art°culo;Descripci¢n;Contenido del curso;Fecha de creaci¢n;Fecha de publicaci¢n;Costo del curso;Proveedor;Responsable;Experto del curso;Duraci¢n (en horas);Horas de crÇdito
Y;Coursera;FrancÇs;;Conocimiento;Enlace;VIRTUAL;COURSERA_15001;;;;1 oct. 2020;1/03/2020;0;;Formaci¢n SUMMA;Coursera;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3033;Marketing estratÇgico: claves para competir con Çxito;"El papel del marketing difiere entre empresas y sectores. Adem†s, la visi¢n que los profesionales tienen del mismo depende del nivel jer†rquico dentro de la organizaci¢n, as° como del bagaje profesional de cada uno. Quiz† por ello, a menudo es mal entendido y reducido a un nivel t†ctico exclusivamente de comunicaci¢n. El marketing trata de identificar y satisfacer de manera rentable necesidades humanas y de la sociedad en general. Por ello, como disciplina, tiene permanentemente puesto el foco en el cliente. A nivel corporativo, el marketing debe ayudar a dise§ar la estrategia; pero tambiÇn es parte fundamental en la ejecuci¢n de esta. En un mundo tan competitivo como el actual, las empresas que sean capaces de crear m†s valor para el cliente y de hacer rentable esa relaci¢n son las que generar†n m†s riqueza, empleo y tambiÇn las capaces de competir con Çxito en sus mercados. El objetivo de este curso es aportar una introducci¢n al marketing estratÇgico. Estudiaremos las distintas fases del proceso de planificaci¢n de marketing, con especial Çnfasis en el llamado marketing mix y en la importancia de sostener el valor en el tiempo.";;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Iese Business School;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3043;Gesti¢n del alcance: el quÇ de la triple restricci¢n;Bienvenido al curso de Gesti¢n del alcance. Soy Gonzalo Vela y te acompa§arÇ a lo largo de estas 7 semanas en las que aprender†s los fundamentos b†sicos para definir el alcance de un proyecto de manera efectiva, con lo cual podr†s entender los beneficios que ofrece un proyecto complejo, la manera en la que se obtienen, c¢mo se organiza un plan de trabajo y c¢mo debes definir los componentes, entregables, criterios de aceptaci¢n y otros elementos. Este curso es un espacio acadÇmico en el cual podr†s conocer, entender y aplicar las mejores pr†cticas y mÇtodos para definici¢n del alcance. Mediante el uso de varios recursos pedag¢gicos, podr†s conocer, entender y aplicar conceptos clave de gesti¢n de proyectos para obtener los documentos esenciales que plasman la definici¢n del alcance, tales como el acta de constituci¢n, el enunciado del alcance y la estructura de desagregaci¢n del trabajo, entre otros. Al finalizar este curso estar†s en capacidad de entender quÇ hace que un proyecto sea complejo, cu†les son las etapas de su ciclo de vida y cu†les son los procesos adecuados para definir su alcance correctamente. El conocimiento adquirido y las habilidades desarrolladas te permitir†n abordar con confianza uno de los desaf°os de la planificaci¢n de un proyecto. Como consecuencia, mejorar†s tu perfil profesional y podr†s acceder a nuevas oportunidades en el campo laboral. Este curso est† respaldado por los est†ndares de calidad que la Universidad de los Andes mantiene en su oferta acadÇmica. Adicionalmente, este curso ofrece 36 PDUs para aquellas personas certificadas como PMP, PMI-RMP o PMI-SP de acuerdo con el Tri†ngulo del Talento del PMI©. Los PDUs est†n distribuidos de la siguiente manera: Formas de trabajo ? 20 PDUs Habilidades de poder ? 6 PDUs Visi¢n para los negocios ? 10 PDUs;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad De Los Andes;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3217;Las estrategias y habilidades para las negociaciones;En este cuarto y £ltimo curso estudiaremos y analizaremos las estrategias, herramientas y criterios para dar efectividad al proceso de las negociaciones. TambiÇn se propondr† el empleo del concepto de †reas de efectividad y orientaci¢n a resultados, que facilitar† la definici¢n de objetivos espec°ficos y cuantificables para planear estratÇgicamente nuestra negociaci¢n con el empleo del establecimiento de los m†ximos aceptables y m°nimos que cada propuesta de soluci¢n presenta para un manejo efectivo de las concesiones, intercambios y toma de decisiones, con el fin de lograr acuerdos compartidos. Finalmente se establecer† una visi¢n futura de creaci¢n de valor, sobre el acuerdo para continuar en el tiempo obteniendo beneficios compartidos.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad Nacional Aut¢noma;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3219;®C¢mo convertir mi idea en empresa?;"Este curso te ofrece un entrenamiento para la tarea de descubrir quiÇn ser† el consumidor de tu producto o servicio y cu†les ser†n los atributos y caracter°sticas del mismo. Al terminar el curso, habr†s identificado una oportunidad de negocio que te permitir† utilizar tus fortalezas personales; habr†s identificado un grupo de consumidores y sus necesidades; habr†s creado un producto o servicio para atender esas necesidades y lo habr†s prototipado con consumidores reales, obteniendo claridad con respecto a cu†les son los atributos del producto que el consumidor realmente desea y por los cuales est† dispuesto a pagar. Objetivos de aprendizaje: 1. Identificar las capacidades que tienes como individuo y te hacen especial (lo que eres, lo que sabes y a quien conoces), e identificar c¢mo estas capacidades pueden implicar ventajas en tu entorno. Se introduce aqu° la idea de ventaja injusta, que hace referencia a las capacidades individuales que resultan raras, valiosas y dif°ciles de replicar en el medio. 2. Identificar con precisi¢n una necesidad en el entorno, que pueda ser resuelta por ti como individuo, a partir de tus capacidades personales. 3. Proponer una soluci¢n que pueda funcionar bien como un producto o servicio en el mercado. Precisar la propuesta de valor teniendo en cuenta sus elementos constitutivos: productos y servicios, canales, relaci¢n con el cliente y la forma de cobro. Ten en cuenta que este curso ha sido dise§ado como el primero de cuatro cursos que hacen parte del programa especializado en Desarrollo de nuevas empresas (https://www.coursera.org/specializations/desarrollo-nuevas-empresas), cuyo objetivo es brindarte una ruta pr†ctica y accesible para crear y consolidar tu propia empresa, partiendo del an†lisis de tus ideas, de tus propias habilidades y de las oportunidades que te ofrece tu entorno inmediato. Puedes tomar todos los cursos por separado o s¢lo uno de ellos, sin embargo te recomendamos que te inscribas y participes en los cuatro, ojal† en el orden que te proponemos, de manera que llegues al £ltimo curso denominado ""Mi nueva empresa: los siguientes pasos"" preparado para aplicar los conocimientos adquiridos en los cursos anteriores y lleves tu emprendimiento o negocio a la realidad.";;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad De Los Andes;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3115;Requerimientos, planeaci¢n, ejecuci¢n y medici¢n de estrategias para redes sociales;®Te has preguntado c¢mo se manejan las campa§as a travÇs de las redes sociales? ®C¢mo es el proceso que se realiza? ®C¢mo puedo sacar provecho de ellas para posicionar mi producto o mi servicio? êstas y muchas m†s preguntas nos hacemos al ser parte de los consumidores que adquirimos un producto o servicio y que el medio por el cual nos enganchamos a Çl, fue una red social, pero tambiÇn y principalmente como proveedor, nos interesa c¢mo sacar provecho de ellas para favorecer nuestro negocio. En este curso podr†s conocer cu†les son los elementos que necesitas considerar para realizar tu estrategia de redes sociales. El pilar de todo esto es tener una tÇcnica apropiada que te ayude paso a paso a llevar a cabo cada etapa, en donde todo comienza con una buena planeaci¢n. Es preciso, as° mismo, contar con una estructura que permita pasar de la planeaci¢n a la ejecuci¢n y finalmente saber quÇ y c¢mo medir de los resultados. Una estrategia debe de ser realista y medible, por ello, este curso est† dise§ado para que aumentes las posibilidades de Çxito utilizando la metodolog°a que sugerimos.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Tecnol¢gico De Monterrey;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3239;Anticorrupci¢n: Introducci¢n a conceptos y perspectiva pr†ctica;La corrupci¢n es uno de los principales problemas en MÇxico. Los eventos de corrupci¢n afectan de manera directa la calidad de vida de las personas, su desarrollo, el crecimiento econ¢mico y social del pa°s, as° como la confianza en el gobierno. El objetivo del curso es presentar los conceptos centrales del fen¢meno social denominado corrupci¢n, analizar su relaci¢n con la Çtica e integridad en el servicio p£blico, as° como con los derechos humanos. TambiÇn, que se conozcan las principales leyes y su alcance en materia anticorrupci¢n, as° como introducir a los participantes en el an†lisis de redes de corrupci¢n y responsabilidades por actos de corrupci¢n. En este curso los participantes aprender†n a identificar los aspectos ret¢ricos, normativos y pr†cticos de la corrupci¢n.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad Nacional Aut¢noma;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3170;Proyecto final sobre negociaci¢n para un mejor clima laboral;Aqu° se plantear† el caso de una organizaci¢n en la que est†n sucediendo varios acontecimientos preocupantes, que debes conciliar, negociar y resolver. Entre Çstos, sobresale la existencia de conflictos latentes, inherentes a un clima laboral deteriorado por una administraci¢n centralizada de forma excesiva, en donde no se delega y se impide la participaci¢n de la gente. Prevalece la falta de cooperaci¢n entre las †reas y sus colaboradores entre s°, aunado a una falta de liderazgo, trabajo en equipo y comunicaciones defectuosas, y agregando la existencia de una situaci¢n tensa, por la presencia de una Çlite de profesionistas y especialistas en los altos niveles de la organizaci¢n, que influyen en toda la empresa, imponiendo los intereses y la cultura de su especialidad en beneficio de su propio trabajo y de las †reas afines al mismo. Esta Çlite crea un clima laboral que los dem†s consideran dÇspota y hostil. Dichos aspectos hacen imposible el futuro desarrollo de la empresa y emplear el talento de la gente. ®QuÇ hacer para aclarar esta situaci¢n?, ®podr†n conciliarse los intereses mediante acuerdos de cooperaci¢n?, ®quÇ elementos subyacentes deber†n ser considerados?, ®quiÇnes pueden representar a las partes?, y lo m†s importante, ®podremos encontrar una f¢rmula que perdure? En resumen, se requiere negociar el cambio.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad Nacional Aut¢noma;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3031;Proyecto capstone estrategia de marketing;En el proyecto final ser† necesario que utilices todos los conocimientos adquiridos a lo largo de esta especializaci¢n, para desarrollar un plan de marketing coherente para un producto o servicio.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Ie Business School;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3245;Emprender la emprendedur°a;El curso Emprender la emprendedur°a tiene por objetivo promover las competencias emprendedoras en aquellas personas que est†n pensando en orientar su vida profesional hacia la creaci¢n de su propia empresa en el sector audiovisual. El curso ha sido desarrollado por un conjunto de profesores de la Universidad de Barcelona, expertos en diferentes †reas de conocimientos como la psicolog°a, la educaci¢n, la filolog°a, el derecho, pero con el com£n denominador de una dilatada experiencia en el sector audiovisual. El curso se estructura en 4 m¢dulos, en los que aprender†s c¢mo analizar la viabilidad econ¢mica de tu proyecto audiovisual, quÇ aspectos jur°dicos debes tener en cuenta y quÇ procedimientos administrativos debes seguir. El curso finaliza con las recomendaciones de algunos de los profesionales m†s importantes del sector, sobre los aspectos que ellos consideran clave a la hora de emprender un proyecto audiovisual.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universitat De Barcelona;;
