ubi principal;ciuda;id_ciuda;;;ubi principal;ubi_id
SAHAGUN (C351);MONGUI;1;;;SAHAGUN (C351);1
MEDELLIN (C202);AGUA DE DIOS;2;;;MEDELLIN (C202);2
ALTO ANCHICAYA (C209);FRANCISCO PIZARRO;3;;;ALTO ANCHICAYA (C209);3
BAJO ANCHICAYA (C237);CALI;4;;;BAJO ANCHICAYA (C237);4
YUMBO (C234);AGUA DE DIOS;2;;;YUMBO (C234);5
ZONA FRANCA (C206);SOLEDAD;6;;;ZONA FRANCA (C206);6
EDIFICIO IBAGUE (C302);AGUA DE DIOS;2;;;EDIFICIO IBAGUE (C302);7
BUGA (C214);BUENAVISTA;7;;;BUGA (C214);8
CANDELARIA (C217);AGUA DE DIOS;2;;;CANDELARIA (C217);9
PALMIRA (C223);FRANCISCO PIZARRO;3;;;PALMIRA (C223);10
JAMUNDI (C221);AGUA DE DIOS;2;;;JAMUNDI (C221);11
TULUA (C208);TULUA;13;;;TULUA (C208);12
ZARZAL (C226);CAPITANEJO;14;;;ZARZAL (C226);13
MERILECTRICA (C204);BARRANCABERMEJA;15;;;MERILECTRICA (C204);14
BUENAVENTURA (C213);BUCARASICA;17;;;BUENAVENTURA (C213);15
CALIMA (C211);BUENAVISTA;7;;;CALIMA (C211);16
PEREIRA (C360);ENCISO;19;;;PEREIRA (C360);17
BOGOTA (C227);SOACHA;23;;;BOGOTA (C227);18
PANCE (C224);CALI;4;;;PANCE (C224);19
HIDROMONTAÑITAS (C203);GOMEZ PLATA;24;;;HIDROMONTAÑITAS (C203);20
SAN ANDRES DE CUERQUIA (C270);MEDELLIN;25;;;SAN ANDRES DE CUERQUIA (C270);21
CARTAGENA (C266);AGUA DE DIOS;2;;;CARTAGENA (C266);22
MONTERIA (C269);PUERTO LIBERTADOR;28;;;MONTERIA (C269);23
CALI (C216);GUACA;29;;;CALI (C216);24
SALVAJINA (C210);POPAYAN;31;;;SALVAJINA (C210);25
CAICE CHAPARRAL (C311);CHAGUANI;32;;;CAICE CHAPARRAL (C311);26
