areaname;area vice;employyee
CATEGORIA (CLS53000374);FINANCIERA (CLS80000005);2000004755
OPERACIONES Y MANTENIMIENTO ACTIVOS FOTOVOLTAICOS CA (CLS53000429);CELSIA CENTROAMERICA (CLS80000009);2000027055
MANTENIMIENTO ELECTRICO TERMICAS (CLS53000486);GENERACION (CLS80000006);2000029334
SUPERVISION TURNO I CATIVA (CLS53000047);CELSIA CENTROAMERICA (CLS80000009);2000004741
INGENIERIA PARA EL DESARROLLO (CLS51000795);FINANCIERA (CLS80000005);2000003482
CENTRAL GENERACION (CLS53000588);GENERACION (CLS80000006);2000003553
BIENES INMUEBLES Y SERVICIOS ADMTIVOS (CLS51000336);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000005394
CENTRAL HIDRAULICA ALTO Y BAJO ANCHICAYA (CLS51000814);GENERACION (CLS80000006);2000010343
PROTECCIONES AUTOMATIZACION Y CONTROL (CLS51000843);GENERACION (CLS80000006);2000010426
INGENIERIA BASICA Y DE OFERTAS SISTEMAS FOTOVOLTAICOS (CLS53000023);TRANSMISION Y DISTRIBUCION (CLS80000008);2000021168
LOGISTICA NACIONAL (CLS53000012);FINANCIERA (CLS80000005);2000001014
COBRO Y RECAUDO (CLS53000242);COMERCIAL (CLS80000004);2000023172
TESORERIA (CLS51000770);FINANCIERA (CLS80000005);2000023325
SERVICIOS VIRTUALES (CLS53000539);COMERCIAL (CLS80000004);2000003571
COMUNICACIONES EXTERNAS (CLS51000796);ASUNTOS CORPORATIVOS (CLS80000002);2000010467
ALMACEN (CLS53000557);FINANCIERA (CLS80000005);2000010382
GESTION TECNICA INTERNET (CLS53000512);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000001693
SOCIOAMBIENTAL OPERACION GENERACION (CLS53000601);GENERACION (CLS80000006);2000005391
AUDITORIA CORPORATIVA (CLS50000058);PRESIDENCIA (CLS80000001);2000010405
VENTAS PAP INTERNET (CLS53000555);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000031092
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS (CLS51000783);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000032190
REGIONAL VALLE EMPRESAS (CLS53000293);COMERCIAL (CLS80000004);2000028514
EXPERIENCIAS DE SERVICIO ZONA (CLS53000370);COMERCIAL (CLS80000004);2000028811
INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA (CLS53000213);CELSIA CENTROAMERICA (CLS80000009);2000004966
MANTENIMIENTO MECANICO COMPLEJO TERMICO COLON (CLS53000501);CELSIA CENTROAMERICA (CLS80000009);2000004953
SUPERVISION TURNO I (CLS53000065);CELSIA CENTROAMERICA (CLS80000009);2000025574
MANTENIMIENTO SUBESTACIONES ZONA (CLS53000400);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027016
GESTION DE LA MEDIDA (CLS53000265);TRANSMISION Y DISTRIBUCION (CLS80000008);2000025366
PLANEACION FINANCIERA (CLS52000010);CELSIA CENTROAMERICA (CLS80000009);2000004782
FINANZAS DE NEGOCIO (CLS51000676);FINANCIERA (CLS80000005);2000005386
REGIONAL VALLE HOGARES (CLS53000294);COMERCIAL (CLS80000004);2000021757
PERDIDAS DE ENERGIA ZONA (CLS53000365);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028082
OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE NORTE (CLS53000398);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010393
SUBESTACIONES VALLE NORTE (CLS53000576);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010449
PROYECTOS RED PROPIA (CLS51000900);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023024
MANTENIMIENTO ME (CLS53000351);GENERACION (CLS80000006);2000032035
MANTENIMIENTO CTC (CLS52000033);CELSIA CENTROAMERICA (CLS80000009);2000004939
MANTENIMIENTO TERMICAS (CLS51000771);GENERACION (CLS80000006);2000004728
INGENIERIA TYD (CLS51000896);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010369
OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE SUR (CLS53000227);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010400
CENTRO DE OPERACIONES (CLS51000888);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010361
GESTION MANTENIMIENTO CENTRALES (CLS53000387);GENERACION (CLS80000006);2000026760
OPERACIONES CTC (CLS53000076);CELSIA CENTROAMERICA (CLS80000009);2000004838
PROYECTOS MOVILIDAD ELECTRICA (CLS53000450);COMERCIAL (CLS80000004);2000029804
ESTRUCTURACION DE PROYECTOS EFICIENCIA ENERGETICA (CLS53000472);COMERCIAL (CLS80000004);2000010327
SOCIOAMBIENTAL PROYECTOS GENERACION (CLS53000593);GENERACION (CLS80000006);2000010783
COMERCIALIZACION ENERGIA ENERBIT (CLS53000619);ENERBIT (CLS80000022);2000025329
ASUNTOS LEGALES CORPORATIVOS (CLS51000479);ASUNTOS CORPORATIVOS (CLS80000002);2000027243
ADMINISTRACION VENTAS (CLS51000671);COMERCIAL (CLS80000004);2000022958
EXPERIENCIA DE CLIENTE (CLS51000728);COMERCIAL (CLS80000004);2000025633
CENTRO DE CONTROL (CLS53000342);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023751
GESTION MULTISERVICIOS Y HOGAR MAS (CLS53000481);COMERCIAL (CLS80000004);2000022446
DESARROLLO DE MERCADOS (CLS53000192);FINANCIERA (CLS80000005);2000010336
ESTRATEGIA ABASTECIMIENTO (CLS53000320);FINANCIERA (CLS80000005);2000011267
REGIONAL BOGOTA (CLS53000288);COMERCIAL (CLS80000004);2000010480
ASUNTOS LABORALES (CLS51000478);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000021692
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000592);GENERACION (CLS80000006);2000010349
SUBESTACIONES (CLS53000224);TRANSMISION Y DISTRIBUCION (CLS80000008);2000028510
OPERACION TERMICA (CLS51000773);GENERACION (CLS80000006);2000005231
MANTENIMIENTO ACUEDUCTOS Y SANEAMIENTO (CLS53000607);GENERACION (CLS80000006);2000004424
PROYECTO SAN ANDRES (CLS53000035);GENERACION (CLS80000006);2000021384
SOCIOAMBIENTAL (CLS51000703);GENERACION (CLS80000006);2000026279
MANTENIMIENTO CENTRAL TERMICA (CLS53000485);GENERACION (CLS80000006);2000030652
OPERACION CAMPO (CLS53000528);ENERBIT (CLS80000022);2000028973
PLANEACION Y PROGRAMACION MANTENIMIENTO MEDIA Y BAJA TENSION (CLS53000231);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010459
MANTENIMIENTO PREDICTIVO ELECTRICO (CLS53000598);GENERACION (CLS80000006);2000005134
EVALUACION INTEGRAL DEL NEGOCIO (CLS53000394);TRANSMISION Y DISTRIBUCION (CLS80000008);2000006089
PROYECTOS TECHOS FOTOVOLTAICOS (CLS53000010);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010354
LINEAS Y REDES VALLE NORTE (CLS53000581);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010452
LINEAS Y REDES VALLE SUR (CLS53000582);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005283
INGENIERIA DE PROCESOS Y DISEÑO ORGANIZACIONAL (CLS51000792);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000010454
DISTRITOS TERMICOS Y COGENERACION (CLS53000309);GENERACION (CLS80000006);2000010807
CANAL PAP (CLS53000430);COMERCIAL (CLS80000004);2000006131
CENTRO DE CONTROL (CLS53000347);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010423
INFORMACION TECNICA Y GIS CORPORATIVO (CLS53000404);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027722
INFORMACION TECNICA (CLS53000404);TRANSMISION Y DISTRIBUCION (CLS80000008);2000023457
INNOVACION (CLS51000578);INNOVACION (CLS80000021);2000031670
CENTRAL HIDRAULICA SALVAJINA (CLS51000817);GENERACION (CLS80000006);2000022819
PLANEACION Y ESTUDIOS TYD (CLS51000895);TRANSMISION Y DISTRIBUCION (CLS80000008);2000027419
GESTION RECURSOS ME (CLS53000352);GENERACION (CLS80000006);2000024831
OBRAS CIVILES PROYECTOS (CLS53000207);GENERACION (CLS80000006);2000031361
GESTION ADMINISTRATIVA SAC (CLS53000037);GENERACION (CLS80000006);2000010814
PLANEACION DE MANTENIMIENTO (CLS53000199);CELSIA CENTROAMERICA (CLS80000009);2000004758
SUPERVISION DE TURNO (CLS53000553);CELSIA CENTROAMERICA (CLS80000009);2000004805
EXPERIENCIAS DE SERVICIO ZONA (CLS53000372);COMERCIAL (CLS80000004);2000005382
SUBESTACIONES VALLE SUR (CLS53000579);TRANSMISION Y DISTRIBUCION (CLS80000008);2000005078
GESTION RECURSOS CENTRAL TERMICA (CLS53000352);GENERACION (CLS80000006);2000010804
GESTION TECNICA GENERACION HIDRAULICA Y EOLICA (CLS53000587);GENERACION (CLS80000006);2000005151
ALMACEN (CLS53000244);FINANCIERA (CLS80000005);2000023098
SUPERVISION TURNO IV CTC (CLS53000081);CELSIA CENTROAMERICA (CLS80000009);2000004960
MANTENIMIENTO ZONA CARIBE (CLS53000573);TRANSMISION Y DISTRIBUCION (CLS80000008);2000003601
CENTRO DE CONTROL (CLS53000344);TRANSMISION Y DISTRIBUCION (CLS80000008);2000010370
COMERCIAL NUEVOS NEGOCIOS (CLS53000087);CELSIA CENTROAMERICA (CLS80000009);2000030398
EXPERIENCIAS DE SERVICIO ZONA (CLS53000369);COMERCIAL (CLS80000004);2000005347
SERVICIO AL CLIENTE (CLS51000701);COMERCIAL (CLS80000004);2000004984
PROYECTOS ESPECIALES GENERACION CA (CLS53000017);GENERACION (CLS80000006);2000004729
CENTRAL GENERACION (CLS53000589);GENERACION (CLS80000006);2000010478
MANTENIMIENTO ELECTRICO COMPLEJO TERMICO COLON (CLS53000493);CELSIA CENTROAMERICA (CLS80000009);2000004858
OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION (CLS53000597);GENERACION (CLS80000006);2000005033
DEVOPS TECNOLOGIA NEGOCIO (CLS53000544);TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES (CLS80000007);2000005222
COBRO Y RECAUDO (CLS53000367);COMERCIAL (CLS80000004);2000010832
OPERACION CENTRALES TERMICAS (CLS53000469);GENERACION (CLS80000006);2000004432
INTERVENTORIA TYD (CLS53000569);TRANSMISION Y DISTRIBUCION (CLS80000008);2000011313
