EESTADO;pais;id_pais
CORDOBA;Colombia;COL
ANTIOQUIA;Colombia;COL
VALLE DEL CAUCA;Colombia;COL
ATLANTICO;Colombia;COL
TOLIMA;Colombia;COL
HUILA;Colombia;COL
SANTANDER;Colombia;COL
CUNDINAMARCA;Colombia;COL
BOGOTA;Colombia;COL
BOLIVAR;Colombia;COL
CAUCA;Colombia;COL
SAN;Colombia;COL
CESAR;Colombia;COL
CORTES;Honduras;HON
BOYACA;Colombia;COL
META;Colombia;COL
QUINDIO;Colombia;COL
CALDAS;Colombia;COL
RISARALDA;Colombia;COL
ANT;Colombia;COL
COMAYAGUA;Honduras;HON
N. DE SANTANDER;Colombia;COL
Guanacaste;Costa Rica;CRI
LA GUAJIRA;Colombia;COL
NARIÑO;Colombia;COL
SUCRE;Colombia;COL
Panamá;Panamá;PAN
